       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order                                      Vehicle_Routes
 5_20_4_1.0_0.5     49139.9      3881     13960    31298.9       73.2929    Feasible     3615.02	17-18-12-4-20-3-9-14-16-19-8-11-13-5-10-15-1-2-7-6    | 4-12-20-17-18 | 14-9-16-3 | 11-5-13-19-8 | 10-15-7-1-6-2 |
 1_20_4_1.0_1.0     66907.5      4705     17720    44482.5       74.6446    Feasible     3624.22	3-19-15-8-10-12-18-13-16-6-9-14-7-20-17-4-5-2-1-11    | 3-19-15 | 10-18-12-8-16-13 | 7-20-17-9-6-14 | 4-1-11-5-2 |
 2_20_4_1.0_1.0     57208.9      4164     16720    36324.9       72.8385    Feasible     3617.59	20-13-7-16-17-15-1-14-3-6-18-9-2-5-8-19-10-11-4-12    | 20-7-16-13 | 1-14-6-15-17-3-18 | 8-2-19-9-5 | 11-4-10-12 |
 3_20_4_1.0_1.0     54284.5      4515     17060    32709.5       63.8957    Feasible     3621.32	16-14-4-19-9-8-5-18-2-3-12-7-20-13-6-15-11-1-10-17    | 16-19-14-4 | 8-18-5-9-2-3 | 12-6-7-13-20 | 17-11-15-1-10 |
 4_20_4_1.0_1.0     46144.5      4430     12120    29594.5       67.2737    Feasible     3622.44	13-17-19-18-10-16-20-4-1-8-2-9-12-7-11-5-14-15-6-3    | 17-13-10-19-18 | 2-20-8-4-16-1 | 7-12-5-11-9 | 14-6-3-15 |
 5_20_4_1.0_1.0     46034.8      4360     11420    30254.8       74.2147    Feasible     3615.41	13-20-4-10-8-2-14-18-5-15-12-7-1-19-3-6-9-17-11-16    | 4-13-8-14-20-10-2 | 12-5-18-15-7 | 19-6-3-1 | 17-16-9-11 |
 1_20_4_1.0_1.5     53177.7      4560     11580    37037.7        71.716    Feasible     3631.11	3-14-10-19-9-16-17-4-13-2-7-11-15-18-20-6-8-12-1-5    | 19-10-9-14-3-16 | 13-2-4-17 | 15-18-11-7 | 12-8-1-20-6-5 |
 2_20_4_1.0_1.5       54895      4601     10100      40194       75.2757    Feasible     3623.17	6-11-15-14-7-17-13-5-1-8-9-19-20-10-16-12-3-4-18-2    | 7-14-15-11-6 | 13-17-5-8-1 | 20-19-9-10 | 3-2-4-12-18-16 |
 3_20_4_1.0_1.5     52700.2      4390     14960    33350.2       70.2865    Feasible     3615.74	5-9-12-16-2-8-3-7-17-19-4-11-14-6-10-20-13-18-15-1    | 5-2-12-9-3-8-16 | 14-17-11-7-6-4-19 | 10-20 | 18-13-15-1 |
 4_20_4_1.0_1.5     49123.9      4177      6840    38095.9       79.8312    Feasible     3607.91	11-3-15-12-8-4-16-14-13-6-18-2-10-19-1-20-5-9-17-7    | 3-14-11-15-8-12-4-16 | 13-18-6-19-10-2 | 5-20-9-17-7-1 |
 5_20_4_1.0_1.5     47624.6      4719     12200    30705.6       67.0568    Feasible     3618.96	9-6-1-16-3-12-17-8-11-13-18-5-4-10-14-2-7-20-15-19    | 6-17-9-12-3-16-1 | 13-11-8 | 5-2-14-10-18-4 | 15-7-19-20 |
 1_20_4_1.0_2.0     51303.7      3860     13680    33763.7       67.5284    Feasible     3633.99	1-20-14-5-6-10-13-11-17-16-2-8-19-7-3-15-18-12-4-9    | 5-13-14-10-20-6-1 | 2-8-19-17-16-11 | 15-18-3-7 | 9-4-12 |
 2_20_4_1.0_2.0     48923.1      4686     12180    32057.1       68.8727    Feasible     3620.85	8-2-1-15-14-18-7-9-10-4-19-11-16-17-20-6-13-3-12-5    | 15-2-8-1 | 14-9-7-18-10 | 16-4-19-11-20-17-6 | 13-5-3-12 |
 3_20_4_1.0_2.0     60039.5      4124     12440    43475.5       79.7487    Feasible      3618.7	1-4-9-19-12-13-7-18-11-16-14-6-20-17-8-2-5-10-3-15    | 1-19-12-4-9 | 14-11-13-16-18-7 | 6-20-17 | 3-8-15-2-10-5 |
 4_20_4_1.0_2.0     51501.4      4510     11420    35571.4       72.0492    Feasible     3619.16	17-8-4-14-6-12-10-5-18-11-13-20-16-2-1-9-15-7-19-3    | 8-17-4-12-10-14-6 | 20-11-5-16-13-18 | 9-1-15-2 | 7-3-19 |
 5_20_4_1.0_2.0     59653.8      4926     15340    39387.8       69.6608    Feasible     3614.72	3-5-15-13-2-19-11-7-4-8-14-18-12-9-1-16-17-20-10-6    | 3-13-15-5-2 | 11-19-8-7-4 | 18-9-14-1-12 | 17-6-20-10-16 |
 1_20_4_1.0_2.5     61830.2      3684     14640    43506.2       77.4215    Feasible     3617.71	3-18-14-6-11-17-5-20-13-4-9-12-2-15-8-16-10-19-1-7    | 3-14-18-6 | 13-5-4-20-11-17 | 16-12-8-10-15-2 | 19-1-7-9 |
 2_20_4_1.0_2.5     56390.5      4769     14460    37161.5       73.7191    Feasible     3623.77	3-6-9-19-8-5-4-18-16-2-7-13-11-17-12-20-10-15-14-1    | 9-3-6 | 5-8-18-4-19 | 17-16-2-7-13-11-12 | 15-20-10-14-1 |
 3_20_4_1.0_2.5     45009.1      4250     12860    27899.1       65.3677    Feasible     3614.21	4-1-12-19-2-9-14-10-11-6-5-20-3-13-7-8-18-17-15-16    | 1-12-4-19-2 | 5-14-11-10-6-9 | 7-8-3-20-13 | 17-16-18-15 |
 4_20_4_1.0_2.5     49198.1      4597     10540    34061.1       72.1387    Feasible     3617.43	13-1-16-11-9-19-8-10-18-5-4-14-3-17-15-12-2-20-6-7    | 16-1-13-11 | 9-19-8-5-18-10 | 17-15-12-4-14-2-3 | 6-20-7 |
