       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order                       Vehicle_Routes
 5_15_4_1.0_2.5     29846.5      4081      9180    16585.5       68.0804    Feasible     3674.86	15-13-7-5-10-14-8-3-6-9-1-2-12-11-4    | 13-15-7-5 | 10-14-8 | 9-1-6-3 | 12-11-2-4 |
 1_15_4_1.5_0.5     29699.8      3427      9750    16522.8       68.7456    Feasible     3616.45	7-2-14-11-12-10-1-13-9-4-8-15-6-5-3    | 11-2-7-14 | 12-1-10-13 | 4-8-9 | 5-6-3-15 |
 2_15_4_1.5_0.5     36518.3      3764     11160    21594.3       69.0088    Feasible     3609.79	3-13-14-7-5-9-12-2-8-11-4-6-10-1-15    | 13-3-14 | 5-7-12-2-9 | 11-6-4-8 | 10-15-1 |
 3_15_4_1.5_0.5     26788.2      3590     10290    12908.2       61.4839    Feasible     3618.57	4-3-7-10-9-12-2-1-8-13-15-11-14-6-5    | 4-3-10-7 | 12-2-9 | 11-8-15-1-13 | 6-5-14 |
 4_15_4_1.5_0.5     36699.7      3558     11205    21936.7       71.9037    Feasible     3641.97	6-4-7-12-9-5-8-3-10-2-1-14-13-11-15    | 6-12-4-7-9 | 2-8-5-3-10-1 | 14-15-13-11 |
 5_15_4_1.5_0.5       32249      3716      8820      19713       76.1893    Feasible        3631	11-6-10-4-14-1-2-15-7-3-8-5-12-13-9    | 10-6-11 | 2-14-1-4 | 15-7-3-8 | 5-9-13-12 |
 1_15_4_1.5_1.0       26202      3552      8220      14430       69.2992    Feasible     3618.33	10-1-5-9-8-2-4-15-13-3-12-11-14-6-7    | 10-1-5 | 15-2-9-4-8 | 12-3-13 | 7-6-14-11 |
 2_15_4_1.5_1.0     24212.6      3376      7230    13606.6       68.0299    Feasible     3669.32	2-5-9-3-12-6-13-1-10-4-8-14-11-7-15    | 5-2-9 | 3-12-13-6 | 14-8-1-4-10 | 11-15-7 |
 3_15_4_1.5_1.0     29544.2      3790     12615    13139.2       64.9948    Feasible     3663.43	2-14-15-5-12-7-8-6-11-10-13-4-1-9-3    | 2-14 | 15-12-8-7-5 | 11-6 | 9-4-3-1-10-13 |
 4_15_4_1.5_1.0     33862.8      3540      9660    20662.8       70.9587    Feasible     3632.79	4-12-7-14-11-2-15-10-6-3-1-5-8-9-13    | 4-12-14-7 | 11-2 | 3-10-1-15-6 | 5-8-13-9 |
 5_15_4_1.5_1.0     26873.6      3770      6150    16946.6       72.5451    Feasible     3624.94	3-12-13-4-9-5-15-6-8-2-7-11-14-10-1    | 3-13-12-4 | 9-15-6-5 | 2-7-11-8 | 10-1-14 |
 1_15_4_1.5_1.5     29423.2      4245      9885    15293.2       65.4067    Feasible     3607.56	14-6-3-12-7-9-1-2-11-10-13-4-5-8-15    | 3-14-12-6 | 9-2-7-1 | 4-10-11-13 | 5-8-15 |
 2_15_4_1.5_1.5       25321      3067      8595      13654       56.1982    Feasible     3621.14	2-12-1-13-4-5-11-14-3-9-6-10-7-15-8    | 1-2-12-13-4 | 5-14-11-3 | 10-9-6 | 15-8-7 |
 3_15_4_1.5_1.5     31599.5      3751      8085    19763.5       72.3973    Feasible     3678.64	12-14-15-2-1-11-6-9-10-4-7-8-3-13-5    | 12-15-14 | 9-11-6-2-1 | 4-7-8-10 | 5-3-13 |
 4_15_4_1.5_1.5     29350.6      3523     10935    14892.6       62.2942    Feasible     3662.21	7-9-4-5-10-2-1-8-6-12-13-15-11-14-3    | 5-7-10-9-4-2 | 1-8-6 | 12-13-15 | 14-11-3 |
 5_15_4_1.5_1.5     22953.2      3276      5370    14302.2       72.0695    Feasible     3620.16	2-4-11-5-10-7-8-15-14-12-13-1-6-9-3    | 11-2-4-5 | 7-8-15-10 | 14-13-6-1-12 | 3-9 |
 1_15_4_1.5_2.0     22724.8      3397      8490    10837.8       49.2766    Feasible     3636.25	2-5-15-12-7-14-13-8-11-3-6-4-9-10-1    | 5-12-2-15 | 13-14-11-8-7 | 3-9-4-6 | 10-1 |
 2_15_4_1.5_2.0     30720.6      3559     11445    15716.6       61.0943    Feasible      3668.1	14-13-1-3-8-2-9-12-4-5-6-11-10-7-15    | 13-14 | 3-9-2-8-1 | 12-5-4 | 10-6-7-15-11 |
 3_15_4_1.5_2.0     22490.8      3477      8130    10883.8       69.6428    Feasible     3607.93	4-3-5-10-15-12-13-11-2-7-14-9-1-8-6    | 3-4-5-10 | 15-12-13 | 14-9-7-2-11 | 8-1-6 |
 4_15_4_1.5_2.0     32793.5      2657     10545    19591.5       60.9203    Feasible     3610.17	11-15-3-7-6-4-14-8-2-1-5-9-10-13-12    | 6-7-11-3-15 | 1-4-2-14-8 | 9-10-12-5-13 |
