       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order    Vehicle_Routes
  5_8_4_1.0_2.0     12507.5      3061      5568     3878.5     0.0091923     Optimal      2491.9	7-4-1-8-5-3-6-2    | 7-1-4 | 8- | 3-5 | 2-6 |
  1_8_4_1.0_2.5      8095.2      2758      1784     3544.2    0.00967386     Optimal     375.833	1-8-3-5-7-2-6-4    | 1-8 | 7-3-5 | 2-6-4 |
  2_8_4_1.0_2.5      8321.4      1959      2832     3530.4    0.00364308     Optimal      1023.2	2-8-1-5-4-6-7-3    | 2-1-8 | 4-5 | 6-7-3 |
  3_8_4_1.0_2.5      7912.7      3362      2760     1790.7    0.00143185     Optimal     462.215	6-2-8-3-7-1-5-4    | 6-8-2 | 7-3 | 1-5 | 4- |
  4_8_4_1.0_2.5      6939.9      2936      2688     1315.9    0.00367009     Optimal      637.88	5-4-3-6-8-7-1-2    | 4-5 | 6-3 | 8- | 7-1-2 |
  5_8_4_1.0_2.5      8241.4      2352      2976     2913.4     0.0085718     Optimal     607.463	4-3-5-8-7-6-1-2    | 5-4-3 | 6-8-7 | 1-2 |
  1_8_4_1.5_0.5      8311.5      2574      3072     2665.5    0.00463654     Optimal     1503.73	7-3-6-5-4-2-1-8    | 7-3 | 5-6 | 4- | 1-8-2 |
  2_8_4_1.5_0.5      8522.9      2075      3072     3375.9    0.00754544     Optimal     1517.03	7-3-8-2-5-1-4-6    | 3-7 | 8-1-5-2 | 4-6 |
  3_8_4_1.5_0.5      9816.1      2262      3008     4539.1    0.00966215     Optimal     1479.01	4-2-6-8-1-3-7-5    | 6-4-8-2 | 1-3 | 5-7 |
  4_8_4_1.5_0.5      7588.1      2865      3176     1547.1       13.9106    Feasible     3610.35	8-6-4-2-1-5-7-3    | 6-8 | 4-2-1 | 5-7 | 3- |
  5_8_4_1.5_0.5      9396.3      2911      3608     2877.3    0.00367262     Optimal     979.907	3-7-1-2-4-8-6-5    | 7-3 | 2-1 | 8-4 | 6-5 |
  1_8_4_1.5_1.0       11373      2887      4112       4374     0.0070258     Optimal     1753.72	7-1-4-2-6-3-5-8    | 4-1-7 | 2-6 | 5-3-8 |
  2_8_4_1.5_1.0     10072.4      2901      4176     2995.4    0.00412941     Optimal     1116.24	6-2-4-8-3-5-1-7    | 6-2 | 4- | 3-5-8 | 7-1 |
  3_8_4_1.5_1.0     13008.2      2957      5184     4867.2    0.00686246     Optimal     899.721	8-5-1-4-6-3-2-7    | 5-8 | 4-1 | 3-6 | 7-2 |
  4_8_4_1.5_1.0      7948.1      2748      2616     2584.1    0.00950807     Optimal     841.901	1-3-4-2-5-7-8-6    | 4-1-3 | 2-5-7 | 6-8 |
  5_8_4_1.5_1.0      9123.4      2808      3128     3187.4    0.00378852     Optimal      647.76	1-2-4-6-8-3-5-7    | 1- | 4-2-6 | 8-3 | 7-5 |
  1_8_4_1.5_1.5        9392      3033      3336       3023    0.00729592     Optimal     753.357	1-5-7-2-4-3-6-8    | 1-5 | 7-2-4 | 3- | 8-6 |
  2_8_4_1.5_1.5      9158.5      2835      3200     3123.5    0.00984216     Optimal     1543.51	2-7-1-4-5-6-3-8    | 7-2 | 4-1 | 5- | 3-8-6 |
  3_8_4_1.5_1.5     12247.7      3610      4408     4229.7    0.00285618     Optimal     1283.07	4-5-1-6-3-7-2-8    | 5-4 | 6-1 | 7-3 | 2-8 |
  4_8_4_1.5_1.5     10108.4      2406      4224     3478.4    0.00855069     Optimal     1004.49	4-8-3-1-7-2-5-6    | 4-8 | 3-1 | 7-5-2 | 6- |
  5_8_4_1.5_1.5      7533.4      2359      2824     2350.4     0.0093587     Optimal     327.054	1-7-3-4-5-8-6-2    | 1-7 | 3-5-8-4 | 6-2 |
  1_8_4_1.5_2.0        8713      2616      2640       3457    0.00584223     Optimal     900.364	8-7-1-4-3-5-2-6    | 7-8 | 1-3-4 | 5-2-6 |
